Year,USD Billion
2029,6436.653
2028,5833.423
2027,5287.04
2026,4789.829
2025,4339.83
2024,3937.011
2023,3572.078
2022,3353.471
2021,3167.271
2020,2674.852
2019,2835.606
2018,2702.93
2017,2651.474
2016,2294.797
2015,2103.588
2014,2039.127
2013,1856.721
2012,1827.637
2011,1823.052
2010,1675.615
2009,1341.889
2008,1198.895
2007,1216.736
2006,940.26
2005,820.385
2004,709.152
2003,607.701
2002,514.938
2001,485.44
2000,468.396
1999,458.821
1998,421.378
1997,415.895
1996,392.902
1995,360.281
1994,327.275
1993,279.295
1992,288.21
1991,270.105
1990,320.979
1989,296.043
1988,294.479
1987,278.864
1986,248.398
1985,233.52
1984,211.843
1983,218.218
1982,200.035
1981,193.153
1980,186.17
